City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Havre-Saint-Pierre,CA,50.2334,-63.5986,7.16,85,100,17.27,overcast clouds
1,Souillac,MU,-20.5167,57.5167,80.37,85,84,15.68,light rain
2,Vung Tau,VN,10.346,107.0843,77.74,81,52,18.12,broken clouds
3,Bethel,US,41.3712,-73.414,25.95,47,0,8.05,light snow
4,Port Elizabeth,ZA,-33.918,25.5701,75.09,87,100,15.57,overcast clouds
5,Atuona,PF,-9.8,-139.0333,77.81,77,26,14.65,light rain
6,Trairi,BR,-3.2778,-39.2689,77.38,87,100,5.77,overcast clouds
7,Awbari,LY,26.5921,12.7805,49.44,42,0,6.51,clear sky
8,Beterou,BJ,9.1992,2.2586,81.84,11,100,4.94,overcast clouds
9,Mar Del Plata,AR,-38.0023,-57.5575,84.87,56,75,17.0,broken clouds
10,Vaini,TO,-21.2,-175.2,80.64,75,100,10.92,overcast clouds
11,Jamestown,US,42.097,-79.2353,21.02,53,100,4.0,overcast clouds
12,Kaeo,NZ,-35.1,173.7833,67.32,86,100,12.17,overcast clouds
13,Pokhara,NP,28.2333,83.9833,49.42,82,74,1.48,broken clouds
14,Ambilobe,MG,-13.2,49.05,75.6,93,100,2.28,light rain
15,Hermanus,ZA,-34.4187,19.2345,71.8,77,100,15.35,overcast clouds
16,Viedma,AR,-40.8135,-62.9967,65.55,33,100,13.47,overcast clouds
17,General Pico,AR,-35.6566,-63.7568,90.5,20,0,2.39,clear sky
18,Half Moon Bay,US,37.4636,-122.4286,62.31,79,20,1.99,mist
19,Albany,US,42.6001,-73.9662,22.15,36,59,3.0,broken clouds
20,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,80,20,21.88,few clouds
21,Vazante,BR,-17.9869,-46.9078,78.28,74,100,5.55,light rain
22,Rikitea,PF,-23.1203,-134.9692,76.12,62,99,4.54,overcast clouds
23,Kapaa,US,22.0752,-159.319,75.47,71,20,1.01,few clouds
24,Rodrigues Alves,BR,-7.738,-72.6509,87.53,50,99,4.07,overcast clouds
25,Arraial Do Cabo,BR,-22.9661,-42.0278,84.06,70,40,11.5,scattered clouds
26,Bilma,NE,18.6853,12.9164,63.05,15,0,13.67,clear sky
27,Deputatskiy,RU,69.3,139.9,-24.84,100,87,2.48,overcast clouds
28,Ayolas,PY,-27.4,-56.9,100.18,18,0,3.33,light rain
29,Mahebourg,MU,-20.4081,57.7,80.26,83,97,18.05,light rain
30,Provideniya,RU,64.3833,-173.3,4.6,81,1,7.67,clear sky
31,Fereydun Kenar,IR,36.6864,52.5225,49.95,65,0,2.46,clear sky
32,Nikolskoye,RU,59.7035,30.7861,30.7,96,100,7.31,snow
33,Butaritari,KI,3.0707,172.7902,81.64,77,77,21.81,light rain
34,Ushuaia,AR,-54.8,-68.3,47.86,71,75,29.93,light intensity drizzle
