City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hobart,AU,2022-01-26 16:12:04,-42.8794,147.3294,62.06,77,84,1.99
1,Ushuaia,AR,2022-01-26 16:12:04,-54.8,-68.3,53.26,62,75,28.77
2,Ribeira Grande,PT,2022-01-26 16:12:05,38.5167,-28.7,63.0,67,75,9.22
3,Khatanga,RU,2022-01-26 16:12:05,71.9667,102.5,-7.76,87,49,9.51
4,Hermanus,ZA,2022-01-26 16:12:06,-34.4187,19.2345,71.8,82,98,14.54
5,Dingle,PH,2022-01-26 16:12:06,10.9995,122.6711,75.79,93,37,6.44
6,Busselton,AU,2022-01-26 16:12:07,-33.65,115.3333,64.09,75,100,13.78
7,Arauca,CO,2022-01-26 16:12:07,7.0847,-70.7591,90.72,40,100,8.93
8,Russkaya Polyana,UA,2022-01-26 16:12:08,49.417,31.9201,23.68,89,100,9.86
9,Rikitea,PF,2022-01-26 16:12:08,-23.1203,-134.9692,78.12,76,3,20.89
10,San Pedro,PH,2022-01-26 16:12:09,14.35,121.0167,78.1,88,100,10.09
11,Husavik,IS,2022-01-26 16:12:09,66.0449,-17.3389,23.56,77,100,8.23
12,Vaini,TO,2022-01-26 16:12:10,-21.2,-175.2,71.76,100,20,2.3
13,Hilo,US,2022-01-26 16:12:10,19.7297,-155.09,68.25,87,75,5.75
14,Risod,IN,2022-01-26 16:12:11,19.9667,76.7833,61.97,35,0,9.48
15,Vestmannaeyjar,IS,2022-01-26 16:12:11,63.4427,-20.2734,31.19,80,20,9.22
16,Saskylakh,RU,2022-01-26 16:12:12,71.9167,114.0833,6.93,76,14,14.99
17,Valparaiso,CL,2022-01-26 16:10:40,-33.0393,-71.6273,67.48,69,40,5.75
18,Saint George,US,2022-01-26 16:11:59,37.1041,-113.5841,38.35,58,0,4.61
19,Coihaique,CL,2022-01-26 16:12:13,-45.5752,-72.0662,72.21,35,0,8.05
20,New Norfolk,AU,2022-01-26 16:12:14,-42.7826,147.0587,61.72,68,82,1.01
21,Kahului,US,2022-01-26 16:12:14,20.8947,-156.47,72.84,74,0,5.75
22,Mount Isa,AU,2022-01-26 16:12:15,-20.7333,139.5,76.77,100,100,8.05
23,Souillac,MU,2022-01-26 16:12:15,-20.5167,57.5167,77.38,61,20,6.91
24,Albany,US,2022-01-26 16:12:16,42.6001,-73.9662,19.36,50,3,1.99
25,Takoradi,GH,2022-01-26 16:12:16,4.8845,-1.7554,84.42,59,15,8.14
26,Ilulissat,GL,2022-01-26 16:12:17,69.2167,-51.1,12.22,57,75,12.66
27,Luderitz,NA,2022-01-26 16:12:17,-26.6481,15.1594,80.69,51,1,28.19
28,Pundaguitan,PH,2022-01-26 16:12:18,6.3711,126.1689,80.94,79,67,10.07
29,Port Hardy,CA,2022-01-26 16:12:18,50.6996,-127.4199,35.78,93,100,3.44
30,Vardo,NO,2022-01-26 16:12:19,70.3705,31.1107,20.95,79,71,25.32
31,Kodiak,US,2022-01-26 16:12:19,57.79,-152.4072,31.51,80,100,5.75
32,Sarkand,KZ,2022-01-26 16:12:20,45.41,79.9186,14.83,71,33,7.61
33,Samarai,PG,2022-01-26 16:12:21,-10.6167,150.6667,82.0,80,82,5.82
34,Mar Del Plata,AR,2022-01-26 16:12:21,-38.0023,-57.5575,71.01,61,100,25.99
