City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cherskiy,RU,2022-01-25 18:55:16,68.75,161.3,-41.44,100,94,5.21
1,Vardo,NO,2022-01-25 18:55:17,70.3705,31.1107,28.6,80,40,26.46
2,Pedernales,DO,2022-01-25 18:55:17,18.0384,-71.744,83.73,55,2,4.23
3,Hermanus,ZA,2022-01-25 18:55:18,-34.4187,19.2345,68.81,73,66,14.94
4,Ewa Beach,US,2022-01-25 18:55:18,21.3156,-158.0072,76.69,73,92,15.79
5,Thompson,CA,2022-01-25 18:55:19,55.7435,-97.8558,-18.24,69,20,5.75
6,Bredasdorp,ZA,2022-01-25 18:55:20,-34.5322,20.0403,68.29,68,100,8.05
7,Yukamenskoye,RU,2022-01-25 18:55:20,57.8865,52.2416,3.34,96,80,6.98
8,Hovd,MN,2022-01-25 18:55:21,48.0056,91.6419,-9.38,81,96,4.45
9,Port Alfred,ZA,2022-01-25 18:55:22,-33.5906,26.891,71.65,84,52,7.85
10,Gizo,SB,2022-01-25 18:55:22,-8.103,156.8419,82.45,77,100,4.45
11,Awbari,LY,2022-01-25 18:55:23,26.5921,12.7805,49.01,45,36,7.49
12,San Quintin,MX,2022-01-25 18:55:23,30.4833,-115.95,62.08,59,24,6.55
13,Carnarvon,AU,2022-01-25 18:55:24,-24.8667,113.6333,75.27,78,0,17.27
14,Mataura,NZ,2022-01-25 18:55:24,-46.1927,168.8643,54.48,90,79,1.61
15,Vestmannaeyjar,IS,2022-01-25 18:55:25,63.4427,-20.2734,38.39,75,20,46.04
16,Tuatapere,NZ,2022-01-25 18:55:26,-46.1333,167.6833,54.82,94,100,4.25
17,Mitu,CO,2022-01-25 18:55:26,1.1983,-70.1733,78.85,92,100,2.33
18,Tacna,PE,2022-01-25 18:55:27,-18.0056,-70.2483,75.4,50,20,10.36
19,Verkhnevilyuysk,RU,2022-01-25 18:55:27,63.4453,120.3167,-20.67,100,99,3.87
20,Chokurdakh,RU,2022-01-25 18:55:28,70.6333,147.9167,-32.6,100,100,6.85
21,Moron,AR,2022-01-25 18:55:28,-34.6534,-58.6198,86.95,75,100,3.44
22,Cidreira,BR,2022-01-25 18:55:29,-30.1811,-50.2056,81.43,72,100,16.49
23,Ostrovnoy,RU,2022-01-25 18:55:29,68.0531,39.5131,18.84,87,15,17.4
24,Yellowknife,CA,2022-01-25 18:55:30,62.456,-114.3525,4.41,89,100,6.91
25,Kaitangata,NZ,2022-01-25 18:55:30,-46.2817,169.8464,52.66,77,1,4.45
26,Parintins,BR,2022-01-25 18:51:11,-2.6283,-56.7358,87.31,61,100,3.78
27,Vaini,TO,2022-01-25 18:55:31,-21.2,-175.2,78.96,89,20,6.91
28,Lompoc,US,2022-01-25 18:53:48,34.6391,-120.4579,69.08,80,20,8.99
29,Punta Arenas,CL,2022-01-25 18:51:56,-53.15,-70.9167,51.91,58,40,25.32
30,Qaanaaq,GL,2022-01-25 18:55:32,77.484,-69.3632,-10.32,55,57,7.43
31,Rikitea,PF,2022-01-25 18:55:33,-23.1203,-134.9692,78.58,73,100,19.1
32,Rundu,NA,2022-01-25 18:55:33,-17.9333,19.7667,74.52,54,100,6.85
33,East London,ZA,2022-01-25 18:55:34,-33.0153,27.9116,72.54,94,20,2.3
34,Dikson,RU,2022-01-25 18:55:34,73.5069,80.5464,11.93,92,100,33.91
35,Jamestown,US,2022-01-25 18:55:35,42.097,-79.2353,22.32,46,100,4.0
36,Avarua,CK,2022-01-25 18:55:35,-21.2078,-159.775,80.65,83,0,3.44
37,Nago,JP,2022-01-25 18:55:36,26.5881,127.9761,62.76,72,53,7.78
38,Sulechow,PL,2022-01-25 18:55:36,52.0836,15.6251,38.86,73,100,8.05
39,Rochegda,RU,2022-01-25 18:55:37,62.8,43.25,21.58,96,100,5.68
40,Palana,RU,2022-01-25 18:55:38,59.1167,159.9667,-11.36,88,84,4.65
41,Campo Largo,BR,2022-01-25 18:54:22,-25.4586,-49.5283,87.66,45,40,3.09
42,Leh,IN,2022-01-25 18:55:38,34.1667,77.5833,-5.13,85,100,3.15
43,Comodoro Rivadavia,AR,2022-01-25 18:55:39,-45.8667,-67.5,69.66,37,0,17.27
44,Faanui,PF,2022-01-25 18:55:39,-16.4833,-151.75,80.94,76,100,14.36
45,Barrow,US,2022-01-25 18:54:30,71.2906,-156.7887,5.02,78,100,24.16
46,Namibe,AO,2022-01-25 18:56:40,-15.1961,12.1522,76.66,83,88,3.67
47,Coihaique,CL,2022-01-25 18:56:41,-45.5752,-72.0662,72.21,35,2,7.96
48,Ancud,CL,2022-01-25 18:56:42,-41.8697,-73.8203,72.23,63,0,8.14
49,Half Moon Bay,US,2022-01-25 18:56:42,37.4636,-122.4286,60.91,86,40,1.99
50,Busselton,AU,2022-01-25 18:56:43,-33.65,115.3333,57.69,86,0,9.89
51,Bethel,US,2022-01-25 18:56:44,41.3712,-73.414,41.54,68,97,5.01
52,Santa Marta,CO,2022-01-25 18:54:40,11.2408,-74.199,95.34,66,20,6.91
53,Kirensk,RU,2022-01-25 18:56:44,57.7853,108.1119,-3.14,100,99,2.75
54,Thanh Hoa,VN,2022-01-25 18:56:45,19.8,105.7667,67.89,94,100,2.15
55,Atuona,PF,2022-01-25 18:52:27,-9.8,-139.0333,77.97,73,4,18.52
56,Khatanga,RU,2022-01-25 18:56:46,71.9667,102.5,5.9,85,100,17.47
57,Huanan,CN,2022-01-25 18:56:47,46.2167,130.5167,-1.82,99,95,0.4
58,Alyangula,AU,2022-01-25 18:56:48,-13.8483,136.4192,84.07,84,100,8.05
59,Coquimbo,CL,2022-01-25 18:54:09,-29.9533,-71.3436,68.81,71,6,9.17
60,Upernavik,GL,2022-01-25 18:56:49,72.7868,-56.1549,7.38,90,100,8.01
61,Bambous Virieux,MU,2022-01-25 18:55:07,-20.3428,57.7575,77.25,69,40,14.97
62,Iqaluit,CA,2022-01-25 18:56:49,63.7506,-68.5145,-15.07,64,100,3.44
63,Saskylakh,RU,2022-01-25 18:56:50,71.9167,114.0833,11.5,88,100,18.07
64,Severobaykalsk,RU,2022-01-25 18:56:51,55.65,109.3167,-7.42,91,94,5.26
65,Butaritari,KI,2022-01-25 18:56:52,3.0707,172.7902,81.36,80,53,16.2
66,Provideniya,RU,2022-01-25 18:56:52,64.3833,-173.3,-12.5,89,29,5.86
67,Camara De Lobos,PT,2022-01-25 18:56:53,32.6333,-16.9667,61.43,77,40,14.97
